web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627320155-11507","http://ufcstats.com/statistics/fighters?char=c&page=all","SeungWoo","Choi","Sting","6' 0""","145 lbs.","74.0""","Orthodox","10","3","0",""
"1627320155-11578","http://ufcstats.com/statistics/fighters?char=c&page=all","Muhsin","Corbbrey","","5' 10""","155 lbs.","--","Orthodox","17","9","0",""
"1627320155-11443","http://ufcstats.com/statistics/fighters?char=c&page=all","Francis","Carmont","Limitless","6' 3""","205 lbs.","78.0""","Orthodox","25","12","0",""
"1627320155-11439","http://ufcstats.com/statistics/fighters?char=c&page=all","Rafael","Carino","","6' 8""","245 lbs.","--","Orthodox","2","1","1",""
"1627320155-11475","http://ufcstats.com/statistics/fighters?char=c&page=all","Luke","Caudillo","Lil' Hulk","5' 7""","155 lbs.","--","Orthodox","17","17","0",""
"1627320155-11590","http://ufcstats.com/statistics/fighters?char=c&page=all","Guilherme","Costa","The Prodigy","--","155 lbs.","--","","7","1","0",""
"1627320155-11408","http://ufcstats.com/statistics/fighters?char=c&page=all","Ricky","Camp","2 Slick","5' 7""","135 lbs.","--","","11","4","0",""
"1627320155-11446","http://ufcstats.com/statistics/fighters?char=c&page=all","Ariane","Carnelossi","Sorriso","5' 2""","115 lbs.","61.0""","Orthodox","13","2","0",""
"1627320155-11412","http://ufcstats.com/statistics/fighters?char=c&page=all","John","Campetella","","5' 9""","235 lbs.","--","Orthodox","0","1","0",""
"1627320155-11451","http://ufcstats.com/statistics/fighters?char=c&page=all","Cain","Carrizosa","The Insane","5' 8""","155 lbs.","--","Orthodox","10","3","0",""
"1627320155-11511","http://ufcstats.com/statistics/fighters?char=c&page=all","Will","Chope","The Kill","6' 4""","145 lbs.","--","Switch","34","13","0",""
"1627320155-11625","http://ufcstats.com/statistics/fighters?char=c&page=all","Josh","Culibao","Kuya","5' 10""","145 lbs.","73.0""","Orthodox","9","1","1",""
"1627320155-11417","http://ufcstats.com/statistics/fighters?char=c&page=all","Chico","Camus","The King","5' 6""","125 lbs.","66.0""","Orthodox","17","7","0",""
"1627320155-11521","http://ufcstats.com/statistics/fighters?char=c&page=all","Nikolajus","Cilkinas","","--","--","--","Orthodox","2","6","0",""
"1627320155-11430","http://ufcstats.com/statistics/fighters?char=c&page=all","Frank","Caracci","","--","--","--","","2","3","0",""
"1627320155-11484","http://ufcstats.com/statistics/fighters?char=c&page=all","Luan","Chagas","Tarzan","6' 0""","170 lbs.","75.0""","Orthodox","15","3","1",""
"1627320155-11459","http://ufcstats.com/statistics/fighters?char=c&page=all","Shane","Carwin","The Engineer","6' 2""","265 lbs.","80.0""","Orthodox","12","2","0",""
