web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627321765-11734","http://ufcstats.com/statistics/fighters?char=d&page=all","Rafael","Dias","","5' 9""","145 lbs.","--","Orthodox","17","12","2",""
"1627321765-11650","http://ufcstats.com/statistics/fighters?char=d&page=all","Richard","Dalton","","6' 1""","205 lbs.","--","Orthodox","4","3","1",""
"1627321765-11682","http://ufcstats.com/statistics/fighters?char=d&page=all","Grant","Dawson","KGD","5' 10""","145 lbs.","72.0""","Switch","17","1","0",""
"1627321765-11660","http://ufcstats.com/statistics/fighters?char=d&page=all","Marques","Daniels","","--","155 lbs.","--","","5","5","0",""
"1627321765-11681","http://ufcstats.com/statistics/fighters?char=d&page=all","Hakeem","Dawodu","Mean","5' 8""","145 lbs.","73.0""","Orthodox","12","2","1",""
"1627321765-11696","http://ufcstats.com/statistics/fighters?char=d&page=all","Jorge","de Oliveira","Blade","5' 8""","155 lbs.","--","Orthodox","9","2","0",""
"1627321765-11703","http://ufcstats.com/statistics/fighters?char=d&page=all","Issac","DeJesus","","--","145 lbs.","--","","12","7","1",""
"1627321765-11707","http://ufcstats.com/statistics/fighters?char=d&page=all","Rolando","Delgado","Roli","6' 3""","155 lbs.","77.0""","Orthodox","11","6","1",""
"1627321765-11704","http://ufcstats.com/statistics/fighters?char=d&page=all","Rafael","Del Real","","5' 11""","225 lbs.","--","","6","20","0",""
"1627321765-11752","http://ufcstats.com/statistics/fighters?char=d&page=all","John","Dixson","Big John","6' 0""","275 lbs.","--","Orthodox","15","22","0",""
"1627321765-11651","http://ufcstats.com/statistics/fighters?char=d&page=all","Aisling","Daly","Ais the Bash","5' 2""","115 lbs.","64.0""","Orthodox","16","6","0",""
"1627321765-11641","http://ufcstats.com/statistics/fighters?char=d&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627321765-11680","http://ufcstats.com/statistics/fighters?char=d&page=all","Mike","Davis","Beast Boy","6' 0""","145 lbs.","72.0""","Orthodox","9","2","0",""
"1627321765-11688","http://ufcstats.com/statistics/fighters?char=d&page=all","Philip","De Fries","","6' 5""","250 lbs.","79.0""","Orthodox","12","6","0",""
"1627321765-11676","http://ufcstats.com/statistics/fighters?char=d&page=all","Justin","Davis","Dangerous","5' 11""","205 lbs.","--","","13","16","0",""
"1627321765-11727","http://ufcstats.com/statistics/fighters?char=d&page=all","Alessio","Di Chirico","Manzo","6' 0""","185 lbs.","74.0""","Orthodox","13","5","0",""
