web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322731-13410","http://ufcstats.com/statistics/fighters?char=o&page=all","Ode","Osbourne","The Jamaican Sensation","5' 7""","145 lbs.","73.0""","Southpaw","9","3","0",""
"1627322731-13390","http://ufcstats.com/statistics/fighters?char=o&page=all","Saimon","Oliveira","","5' 9""","135 lbs.","--","","17","3","0",""
"1627322731-13399","http://ufcstats.com/statistics/fighters?char=o&page=all","Alan","Omer","","5' 10""","145 lbs.","--","Orthodox","20","5","0",""
"1627322731-13382","http://ufcstats.com/statistics/fighters?char=o&page=all","Aleksei","Oleinik","The Boa Constrictor","6' 2""","240 lbs.","80.0""","Orthodox","59","16","1",""
"1627322731-13396","http://ufcstats.com/statistics/fighters?char=o&page=all","Dennis","Olson","","6' 0""","170 lbs.","--","","14","11","0",""
"1627322731-13368","http://ufcstats.com/statistics/fighters?char=o&page=all","Takahiro","Oba","","5' 8""","200 lbs.","--","Southpaw","5","7","1",""
"1627322731-13363","http://ufcstats.com/statistics/fighters?char=o&page=all","Sean","O'Malley","Sugar","5' 11""","135 lbs.","72.0""","Switch","14","1","0",""
"1627322731-13358","http://ufcstats.com/statistics/fighters?char=o&page=all","Jake","O'Brien","Irish","6' 3""","205 lbs.","76.0""","Orthodox","15","4","0",""
"1627322731-13406","http://ufcstats.com/statistics/fighters?char=o&page=all","Tito","Ortiz","The People's Champ","6' 3""","205 lbs.","74.0""","Orthodox","19","12","1",""
"1627322731-13379","http://ufcstats.com/statistics/fighters?char=o&page=all","JJ","Okanovich","The Bosnian Bomber","5' 11""","155 lbs.","76.0""","Orthodox","7","1","0",""
"1627322731-13377","http://ufcstats.com/statistics/fighters?char=o&page=all","Takayuki","Okada","Giant Ochiai","6' 1""","290 lbs.","--","Orthodox","3","3","2",""
"1627322731-13369","http://ufcstats.com/statistics/fighters?char=o&page=all","Nobuhiro","Obiya","","5' 8""","145 lbs.","--","Orthodox","12","5","1",""
"1627322731-13393","http://ufcstats.com/statistics/fighters?char=o&page=all","Andy","Ologun","","6' 0""","154 lbs.","--","Orthodox","3","1","0",""
"1627322731-13405","http://ufcstats.com/statistics/fighters?char=o&page=all","Brian","Ortega","T-City","5' 8""","145 lbs.","69.0""","Switch","15","1","0",""
"1627322731-13372","http://ufcstats.com/statistics/fighters?char=o&page=all","Volkan","Oezdemir","No Time","6' 2""","205 lbs.","75.0""","Orthodox","17","5","0",""
"1627322731-13392","http://ufcstats.com/statistics/fighters?char=o&page=all","Felipe","Olivieri","","5' 9""","155 lbs.","--","Orthodox","14","5","0",""
"1627322731-13357","http://ufcstats.com/statistics/fighters?char=o&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627322731-13388","http://ufcstats.com/statistics/fighters?char=o&page=all","Alex","Oliveira","Cowboy","5' 11""","170 lbs.","76.0""","Orthodox","22","10","1",""
"1627322731-13359","http://ufcstats.com/statistics/fighters?char=o&page=all","TJ","O'Brien","The Spider","6' 2""","155 lbs.","--","Orthodox","20","8","0",""
"1627322731-13407","http://ufcstats.com/statistics/fighters?char=o&page=all","Jorge","Ortiz","The Naked Man","6' 0""","185 lbs.","--","Orthodox","18","9","1",""
"1627322731-13417","http://ufcstats.com/statistics/fighters?char=o&page=all","Takafumi","Otsuka","","5' 6""","139 lbs.","--","Orthodox","22","13","2",""
"1627322731-13420","http://ufcstats.com/statistics/fighters?char=o&page=all","Sidney","Outlaw","","5' 8""","170 lbs.","74.0""","Orthodox","8","4","0",""
"1627322731-13362","http://ufcstats.com/statistics/fighters?char=o&page=all","Sean","O'Haire","","6' 5""","270 lbs.","--","Orthodox","4","2","0",""
"1627322731-13414","http://ufcstats.com/statistics/fighters?char=o&page=all","Rachael","Ostovich","","5' 3""","125 lbs.","62.0""","Orthodox","4","6","0",""
"1627322731-13421","http://ufcstats.com/statistics/fighters?char=o&page=all","Alistair","Overeem","The Demolition Man","6' 4""","265 lbs.","80.0""","Orthodox","47","19","0",""
"1627322731-13375","http://ufcstats.com/statistics/fighters?char=o&page=all","Michiyoshi","Ohara","","5' 10""","205 lbs.","--","Orthodox","0","2","0",""
"1627322731-13401","http://ufcstats.com/statistics/fighters?char=o&page=all","Michihiro","Omigawa","","5' 6""","145 lbs.","68.0""","Orthodox","17","14","1",""
"1627322731-13409","http://ufcstats.com/statistics/fighters?char=o&page=all","Kenji","Osawa","","5' 7""","135 lbs.","66.0""","Orthodox","20","11","2",""
"1627322731-13391","http://ufcstats.com/statistics/fighters?char=o&page=all","Wendell","Oliveira Marques","The Machine","5' 10""","170 lbs.","--","Orthodox","29","10","0",""
