web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322453-13156","http://ufcstats.com/statistics/fighters?char=m&page=all","Nate","Mohr","","5' 9""","155 lbs.","72.0""","Orthodox","9","7","0",""
"1627322453-13037","http://ufcstats.com/statistics/fighters?char=m&page=all","Court","McGee","The Crusher","5' 11""","170 lbs.","75.0""","Orthodox","21","10","0",""
"1627322453-13239","http://ufcstats.com/statistics/fighters?char=m&page=all","Ian","Murphy","","6' 1""","185 lbs.","--","Orthodox","1","1","0",""
"1627322453-13072","http://ufcstats.com/statistics/fighters?char=m&page=all","Brian","Melancon","","5' 8""","170 lbs.","--","Orthodox","7","3","0",""
"1627322453-12969","http://ufcstats.com/statistics/fighters?char=m&page=all","Justin","Martin","","6' 0""","185 lbs.","--","","4","3","0",""
"1627322453-13095","http://ufcstats.com/statistics/fighters?char=m&page=all","Guy","Mezger","","6' 1""","200 lbs.","--","Orthodox","30","14","2",""
"1627322453-12995","http://ufcstats.com/statistics/fighters?char=m&page=all","Al","Matavao","Sweetness","5' 8""","205 lbs.","67.0""","Orthodox","8","3","0",""
"1627322453-13090","http://ufcstats.com/statistics/fighters?char=m&page=all","Joe","Merritt","","6' 0""","170 lbs.","--","Orthodox","7","2","0",""
"1627322453-13158","http://ufcstats.com/statistics/fighters?char=m&page=all","Thiago","Moises","","5' 9""","155 lbs.","70.0""","Orthodox","15","5","0",""
"1627322453-13246","http://ufcstats.com/statistics/fighters?char=m&page=all","Azamat","Murzakanov","The Professional","5' 11""","205 lbs.","--","","7","0","0",""
"1627322453-12970","http://ufcstats.com/statistics/fighters?char=m&page=all","Dave","Martin","","6' 0""","205 lbs.","--","","0","2","0",""
"1627322453-13154","http://ufcstats.com/statistics/fighters?char=m&page=all","Bobby","Moffett","The Wolfman","5' 10""","145 lbs.","73.0""","Orthodox","13","5","0",""
"1627322453-12912","http://ufcstats.com/statistics/fighters?char=m&page=all","Angela","Magana","Your Majesty","5' 1""","115 lbs.","65.0""","Orthodox","11","9","0",""
"1627322453-13101","http://ufcstats.com/statistics/fighters?char=m&page=all","Kristof","Midoux","The Hurricane","6' 1""","220 lbs.","--","Orthodox","6","10","0",""
"1627322453-12919","http://ufcstats.com/statistics/fighters?char=m&page=all","Lolohea","Mahe","","--","--","--","","10","4","1",""
"1627322453-13141","http://ufcstats.com/statistics/fighters?char=m&page=all","Bryce","Mitchell","Thug Nasty","5' 10""","145 lbs.","70.0""","Southpaw","14","1","0",""
