web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323119-13755","http://ufcstats.com/statistics/fighters?char=r&page=all","Ricco","Rodriguez","Suave","6' 4""","265 lbs.","--","Orthodox","53","25","0",""
"1627323119-13797","http://ufcstats.com/statistics/fighters?char=r&page=all","Ben","Rothwell","","6' 4""","265 lbs.","78.0""","Orthodox","39","13","0",""
"1627323119-13816","http://ufcstats.com/statistics/fighters?char=r&page=all","Paul","Ruiz","","5' 6""","135 lbs.","--","","7","4","0",""
"1627323119-13769","http://ufcstats.com/statistics/fighters?char=r&page=all","Brian","Rogers","The Professional Predator","5' 11""","185 lbs.","--","","14","9","0",""
"1627323119-13648","http://ufcstats.com/statistics/fighters?char=r&page=all","Raou","Raou","","5' 8""","195 lbs.","--","Orthodox","0","1","0",""
"1627323119-13780","http://ufcstats.com/statistics/fighters?char=r&page=all","Mara","Romero Borella","","5' 6""","125 lbs.","69.0""","Orthodox","12","9","0",""
"1627323119-13692","http://ufcstats.com/statistics/fighters?char=r&page=all","Mike","Ricci","The Martian","6' 0""","155 lbs.","76.0""","Southpaw","11","5","0",""
"1627323119-13672","http://ufcstats.com/statistics/fighters?char=r&page=all","Wilson","Reis","","5' 4""","125 lbs.","65.0""","Southpaw","23","10","0",""
"1627323119-13789","http://ufcstats.com/statistics/fighters?char=r&page=all","Jacob","Rosales","Lil Badger","5' 11""","155 lbs.","--","Orthodox","10","5","0",""
"1627323119-13782","http://ufcstats.com/statistics/fighters?char=r&page=all","Rong","Zhu","","5' 9""","155 lbs.","71.0""","Orthodox","17","4","0",""
"1627323119-13701","http://ufcstats.com/statistics/fighters?char=r&page=all","Matthew","Riddle","Deep Waters","6' 1""","170 lbs.","76.0""","Southpaw","8","3","0",""
"1627323119-13752","http://ufcstats.com/statistics/fighters?char=r&page=all","Gregory","Rodrigues","Robocop","6' 3""","185 lbs.","75.0""","Orthodox","8","3","0",""
"1627323119-13793","http://ufcstats.com/statistics/fighters?char=r&page=all","Kevin","Rosier","","6' 4""","275 lbs.","--","Orthodox","2","6","0",""
"1627323119-13626","http://ufcstats.com/statistics/fighters?char=r&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627323119-13774","http://ufcstats.com/statistics/fighters?char=r&page=all","Jared","Rollins","J-Roc","5' 9""","170 lbs.","--","Orthodox","8","4","0",""
"1627323119-13710","http://ufcstats.com/statistics/fighters?char=r&page=all","Albert","Rios","","5' 8""","145 lbs.","--","","13","6","0",""
"1627323119-13629","http://ufcstats.com/statistics/fighters?char=r&page=all","Gilbert","Rael","","5' 8""","155 lbs.","--","","1","3","0",""
"1627323119-13765","http://ufcstats.com/statistics/fighters?char=r&page=all","Piera","Rodriguez","","5' 3""","115 lbs.","--","","6","0","0",""
"1627323119-13630","http://ufcstats.com/statistics/fighters?char=r&page=all","Josh","Rafferty","","6' 0""","170 lbs.","--","Orthodox","9","8","0",""
"1627323119-13681","http://ufcstats.com/statistics/fighters?char=r&page=all","Dominick","Reyes","The Devastator","6' 4""","205 lbs.","77.0""","Southpaw","12","3","0",""
"1627323119-13685","http://ufcstats.com/statistics/fighters?char=r&page=all","Gaston","Reyno","Tonga","6' 0""","145 lbs.","--","","6","2","0",""
"1627323119-13712","http://ufcstats.com/statistics/fighters?char=r&page=all","Maria","Rios","","5' 5""","125 lbs.","--","","2","3","0",""
"1627323119-13776","http://ufcstats.com/statistics/fighters?char=r&page=all","Alexandr","Romanov","King Kong","6' 2""","262 lbs.","75.0""","Southpaw","14","0","0",""
"1627323119-13633","http://ufcstats.com/statistics/fighters?char=r&page=all","Shavkat","Rakhmonov","Nomad","6' 1""","170 lbs.","77.0""","Orthodox","14","0","0",""
"1627323119-13636","http://ufcstats.com/statistics/fighters?char=r&page=all","Thomas","Ramirez","","6' 1""","410 lbs.","--","Sideways","0","1","0",""
"1627323119-13795","http://ufcstats.com/statistics/fighters?char=r&page=all","Nick","Rossborough","Leatherface","6' 5""","205 lbs.","--","","26","19","1",""
"1627323119-13697","http://ufcstats.com/statistics/fighters?char=r&page=all","Rex","Richards","","6' 5""","265 lbs.","--","","7","2","0",""
"1627323119-13728","http://ufcstats.com/statistics/fighters?char=r&page=all","Karl","Roberson","Baby K","6' 1""","185 lbs.","74.0""","Southpaw","9","4","0",""
"1627323119-13796","http://ufcstats.com/statistics/fighters?char=r&page=all","Kristian","Rothaermel","","6' 0""","205 lbs.","--","Open Stance","4","3","0",""
"1627323119-13738","http://ufcstats.com/statistics/fighters?char=r&page=all","Roosevelt","Roberts","The Predator","6' 2""","155 lbs.","73.0""","Orthodox","10","2","0",""
"1627323119-13698","http://ufcstats.com/statistics/fighters?char=r&page=all","Mike","Richman","The Marine","5' 8""","135 lbs.","--","","18","7","0",""
"1627323119-13803","http://ufcstats.com/statistics/fighters?char=r&page=all","Philip","Rowe","The Fresh Prince","6' 3""","170 lbs.","80.0""","Orthodox","7","3","0",""
"1627323119-13639","http://ufcstats.com/statistics/fighters?char=r&page=all","Steve","Ramirez","","5' 7""","125 lbs.","--","","5","2","0",""
"1627323119-13746","http://ufcstats.com/statistics/fighters?char=r&page=all","Vagner","Rocha","Ceara","5' 10""","155 lbs.","73.0""","Orthodox","14","4","0",""
"1627323119-13676","http://ufcstats.com/statistics/fighters?char=r&page=all","Chance","Rencountre","Black Eagle","6' 2""","170 lbs.","75.0""","Southpaw","14","4","0",""
"1627323119-13708","http://ufcstats.com/statistics/fighters?char=r&page=all","Nick","Ring","The Promise","6' 0""","185 lbs.","74.0""","Southpaw","14","4","0",""
"1627323119-13804","http://ufcstats.com/statistics/fighters?char=r&page=all","Kain","Royer","","--","185 lbs.","--","","2","2","0",""
"1627323119-13812","http://ufcstats.com/statistics/fighters?char=r&page=all","Rodolfo","Rubio Perez","Fito","5' 5""","145 lbs.","--","Orthodox","10","16","1",""
"1627323119-13747","http://ufcstats.com/statistics/fighters?char=r&page=all","Carlos Eduardo","Rocha","Ta Danado","5' 10""","170 lbs.","73.0""","Orthodox","9","4","0",""
"1627323119-13693","http://ufcstats.com/statistics/fighters?char=r&page=all","Alex","Ricci","","5' 11""","155 lbs.","--","Orthodox","10","5","0",""
"1627323119-13740","http://ufcstats.com/statistics/fighters?char=r&page=all","Gillian","Robertson","The Savage","5' 5""","125 lbs.","63.0""","Orthodox","9","6","0",""
"1627323119-13677","http://ufcstats.com/statistics/fighters?char=r&page=all","Marion","Reneau","The Belizean Bruiser","5' 6""","135 lbs.","68.0""","Orthodox","9","8","1",""
"1627323119-13777","http://ufcstats.com/statistics/fighters?char=r&page=all","Ricardo","Romero","","6' 0""","205 lbs.","76.0""","Orthodox","11","3","0",""
"1627323119-13706","http://ufcstats.com/statistics/fighters?char=r&page=all","Moise","Rimbon","Swamp","5' 10""","205 lbs.","--","Orthodox","23","11","3",""
"1627323119-13751","http://ufcstats.com/statistics/fighters?char=r&page=all","Bruno","Rodrigues","Korea","5' 6""","135 lbs.","--","","7","2","0",""
"1627323119-13817","http://ufcstats.com/statistics/fighters?char=r&page=all","Mike","Russow","","6' 1""","255 lbs.","73.0""","Orthodox","15","3","0",""
"1627323119-13805","http://ufcstats.com/statistics/fighters?char=r&page=all","Brad","Royster","","--","135 lbs.","--","","1","2","0",""
"1627323119-13811","http://ufcstats.com/statistics/fighters?char=r&page=all","Rodrigo","Ruas","","5' 10""","185 lbs.","--","Orthodox","4","5","1",""
"1627323119-13695","http://ufcstats.com/statistics/fighters?char=r&page=all","Matt","Ricehouse","","--","155 lbs.","--","","6","1","0",""
