web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627321962-11983","http://ufcstats.com/statistics/fighters?char=f&page=all","Stephanie","Frausto","Lil Bovy","5' 2""","115 lbs.","61.0""","Orthodox","8","7","0",""
"1627321962-11951","http://ufcstats.com/statistics/fighters?char=f&page=all","Rafael","Fiziev","Ataman","5' 8""","155 lbs.","71.0""","Switch","9","1","0",""
"1627321962-11958","http://ufcstats.com/statistics/fighters?char=f&page=all","Kenny","Florian","KenFlo","5' 10""","145 lbs.","74.0""","Southpaw","14","6","0",""
"1627321962-11970","http://ufcstats.com/statistics/fighters?char=f&page=all","Jussier","Formiga","","5' 5""","125 lbs.","67.0""","Orthodox","23","8","0",""
"1627321962-11968","http://ufcstats.com/statistics/fighters?char=f&page=all","Sterling","Ford","","5' 10""","155 lbs.","--","","15","7","0",""
"1627321962-11928","http://ufcstats.com/statistics/fighters?char=f&page=all","Scott","Ferrozzo","The Pitbull","5' 11""","323 lbs.","--","Orthodox","4","2","0",""
"1627321962-11924","http://ufcstats.com/statistics/fighters?char=f&page=all","Alexandre","Ferreira","Cacareco","5' 7""","205 lbs.","--","Orthodox","18","6","0",""
"1627321962-11979","http://ufcstats.com/statistics/fighters?char=f&page=all","Francisco","France","Kiko","6' 0""","205 lbs.","--","","13","5","1",""
"1627321962-11905","http://ufcstats.com/statistics/fighters?char=f&page=all","Rinat","Fakhretdinov","Gladiator","6' 0""","185 lbs.","--","","18","1","0",""
"1627321962-11999","http://ufcstats.com/statistics/fighters?char=f&page=all","Artem","Frolov","","5' 10""","185 lbs.","--","","11","0","0",""
"1627321962-12003","http://ufcstats.com/statistics/fighters?char=f&page=all","Jesse","Fujarczyk","The Ronin","6' 4""","225 lbs.","--","Southpaw","2","2","0",""
"1627321962-11901","http://ufcstats.com/statistics/fighters?char=f&page=all","Bartosz","Fabinski","The Butcher","6' 0""","170 lbs.","75.0""","Orthodox","15","5","0",""
"1627321962-11934","http://ufcstats.com/statistics/fighters?char=f&page=all","Francisco","Figueiredo","Sniper","5' 6""","135 lbs.","68.0""","Southpaw","12","4","1",""
"1627321962-11975","http://ufcstats.com/statistics/fighters?char=f&page=all","Mason","Fowler","","5' 11""","170 lbs.","--","","2","0","0",""
"1627321962-11954","http://ufcstats.com/statistics/fighters?char=f&page=all","Jimmy","Flick","The Brick","5' 7""","125 lbs.","68.0""","Orthodox","16","5","0",""
"1627321962-11989","http://ufcstats.com/statistics/fighters?char=f&page=all","Willamy","Freire","Chiquerim","5' 8""","155 lbs.","--","","26","6","0",""
"1627321962-12000","http://ufcstats.com/statistics/fighters?char=f&page=all","Sarah","Frota","A Treta","5' 6""","125 lbs.","69.0""","Southpaw","9","2","0",""
"1627321962-11923","http://ufcstats.com/statistics/fighters?char=f&page=all","Bibiano","Fernandes","","5' 7""","139 lbs.","--","Orthodox","20","3","0",""
"1627321962-11921","http://ufcstats.com/statistics/fighters?char=f&page=all","Josh","Ferguson","Taz","5' 5""","125 lbs.","--","Orthodox","10","5","0",""
"1627321962-12002","http://ufcstats.com/statistics/fighters?char=f&page=all","Tony","Fryklund","The Freak","6' 0""","185 lbs.","--","Orthodox","14","9","1",""
"1627321962-12014","http://ufcstats.com/statistics/fighters?char=f&page=all","Katsuaki","Furuki","","6' 0""","168 lbs.","--","","1","1","0",""
"1627321962-11935","http://ufcstats.com/statistics/fighters?char=f&page=all","Anthony","Figueroa","","5' 4""","135 lbs.","--","Orthodox","11","8","1",""
"1627321962-12008","http://ufcstats.com/statistics/fighters?char=f&page=all","Riki","Fukuda","","6' 0""","185 lbs.","73.0""","Southpaw","24","9","0",""
"1627321962-11985","http://ufcstats.com/statistics/fighters?char=f&page=all","Gary","Frazier","","6' 0""","245 lbs.","--","Orthodox","3","3","0",""
"1627321962-12009","http://ufcstats.com/statistics/fighters?char=f&page=all","Masio","Fullen","Lobo","5' 10""","145 lbs.","70.0""","Orthodox","11","7","0",""
"1627321962-11997","http://ufcstats.com/statistics/fighters?char=f&page=all","Matt","Frevola","The SteamRolla","5' 9""","155 lbs.","71.0""","Orthodox","8","3","1",""
"1627321962-11925","http://ufcstats.com/statistics/fighters?char=f&page=all","Cezar","Ferreira","Mutante","6' 1""","185 lbs.","78.0""","Southpaw","13","8","0",""
"1627321962-11903","http://ufcstats.com/statistics/fighters?char=f&page=all","Jason","Fairn","","6' 1""","230 lbs.","--","","4","5","0",""
