web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323372-14407","http://ufcstats.com/statistics/fighters?char=v&page=all","Brandon","Vera","The Truth","6' 3""","230 lbs.","78.0""","Orthodox","15","7","0",""
"1627323372-14388","http://ufcstats.com/statistics/fighters?char=v&page=all","Paul","Varelans","The Polar Bear","6' 8""","300 lbs.","--","Orthodox","9","9","0",""
"1627323372-14392","http://ufcstats.com/statistics/fighters?char=v&page=all","Linton","Vassell","The Swarm","6' 4""","205 lbs.","--","","18","5","0",""
"1627323372-14433","http://ufcstats.com/statistics/fighters?char=v&page=all","Pablo","Villaseca","El Gallo","5' 7""","155 lbs.","--","","12","3","0",""
"1627323372-14429","http://ufcstats.com/statistics/fighters?char=v&page=all","Gian","Villante","","6' 3""","230 lbs.","76.0""","Orthodox","17","13","0",""
"1627323372-14428","http://ufcstats.com/statistics/fighters?char=v&page=all","DeMarco","Villalona","","5' 9""","185 lbs.","--","","1","3","0",""
"1627323372-14409","http://ufcstats.com/statistics/fighters?char=v&page=all","Marlon","Vera","Chito","5' 8""","135 lbs.","70.0""","Switch","17","7","1",""
"1627323372-14432","http://ufcstats.com/statistics/fighters?char=v&page=all","Armando","Villarreal","La Lumbre","5' 7""","135 lbs.","66.0""","Southpaw","5","2","0",""
"1627323372-14437","http://ufcstats.com/statistics/fighters?char=v&page=all","Marcos","Vinicius","Vina","5' 9""","125 lbs.","--","Orthodox","23","11","1",""
"1627323372-14438","http://ufcstats.com/statistics/fighters?char=v&page=all","Brandon","Visher","The Viper","5' 6""","135 lbs.","68.0""","Orthodox","13","3","0",""
"1627323372-14418","http://ufcstats.com/statistics/fighters?char=v&page=all","Guilherme","Viana","","6' 4""","205 lbs.","--","","7","3","0",""
"1627323372-14425","http://ufcstats.com/statistics/fighters?char=v&page=all","Rodolfo","Vieira","","6' 0""","185 lbs.","73.0""","Orthodox","8","1","0",""
"1627323372-14423","http://ufcstats.com/statistics/fighters?char=v&page=all","Reginaldo","Vieira","","5' 7""","135 lbs.","65.0""","Orthodox","13","5","0",""
"1627323372-14435","http://ufcstats.com/statistics/fighters?char=v&page=all","Danillo","Villefort","Indio","6' 1""","185 lbs.","--","Orthodox","15","5","0",""
"1627323372-14384","http://ufcstats.com/statistics/fighters?char=v&page=all","Jared","Vanderaa","The Mountain","6' 4""","260 lbs.","80.0""","Orthodox","12","5","0",""
"1627323372-14410","http://ufcstats.com/statistics/fighters?char=v&page=all","Ernie","Verdicia","","5' 11""","199 lbs.","--","Orthodox","0","1","0",""
"1627323372-14420","http://ufcstats.com/statistics/fighters?char=v&page=all","Vitor","Vianna","","--","205 lbs.","--","Orthodox","12","3","1",""
"1627323372-14390","http://ufcstats.com/statistics/fighters?char=v&page=all","Jamie","Varner","","5' 8""","155 lbs.","71.0""","Orthodox","21","11","1",""
