web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322015-12079","http://ufcstats.com/statistics/fighters?char=g&page=all","Cody","Gibson","The Renegade","5' 10""","135 lbs.","71.0""","Orthodox","15","7","0",""
"1627322015-12016","http://ufcstats.com/statistics/fighters?char=g&page=all","James","Gabert","","--","178 lbs.","--","","6","4","0",""
"1627322015-12052","http://ufcstats.com/statistics/fighters?char=g&page=all","Rafa","Garcia","Gifted","5' 7""","155 lbs.","70.0""","Orthodox","12","1","0",""
"1627322015-12211","http://ufcstats.com/statistics/fighters?char=g&page=all","John","Gunderson","Quick Guns","5' 9""","155 lbs.","69.0""","Orthodox","35","16","2",""
"1627322015-12157","http://ufcstats.com/statistics/fighters?char=g&page=all","Rodrigo","Gracie","","6' 0""","183 lbs.","--","Orthodox","6","2","1",""
"1627322015-12114","http://ufcstats.com/statistics/fighters?char=g&page=all","Joey","Gomez","KO King","5' 10""","135 lbs.","73.0""","Orthodox","6","2","0",""
"1627322015-12026","http://ufcstats.com/statistics/fighters?char=g&page=all","Dave","Galera","Scarecrow","5' 11""","135 lbs.","--","Orthodox","5","1","0",""
"1627322015-12127","http://ufcstats.com/statistics/fighters?char=g&page=all","Jason","Gonzalez","Nicoya","6' 2""","155 lbs.","74.0""","Southpaw","11","5","0",""
"1627322015-12128","http://ufcstats.com/statistics/fighters?char=g&page=all","Pearl","Gonzalez","","5' 4""","115 lbs.","--","Orthodox","6","3","0",""
"1627322015-12112","http://ufcstats.com/statistics/fighters?char=g&page=all","David","Gomez","","--","155 lbs.","--","","1","2","0",""
"1627322015-12180","http://ufcstats.com/statistics/fighters?char=g&page=all","Bobby","Green","King","5' 10""","155 lbs.","71.0""","Orthodox","27","11","1",""
"1627322015-12179","http://ufcstats.com/statistics/fighters?char=g&page=all","Sam","Greco","","6' 2""","205 lbs.","--","Orthodox","3","1","1",""
"1627322015-12045","http://ufcstats.com/statistics/fighters?char=g&page=all","Leonard","Garcia","Bad Boy","5' 10""","145 lbs.","68.0""","Orthodox","18","13","1",""
"1627322015-12087","http://ufcstats.com/statistics/fighters?char=g&page=all","Jesse","Gillespie","","--","185 lbs.","--","","3","2","0",""
"1627322015-12080","http://ufcstats.com/statistics/fighters?char=g&page=all","Chase","Gibson","El Guero","5' 10""","155 lbs.","72.0""","Orthodox","9","5","0",""
"1627322015-12135","http://ufcstats.com/statistics/fighters?char=g&page=all","Jordan","Goodwin","","--","155 lbs.","--","","0","0","0",""
"1627322015-12220","http://ufcstats.com/statistics/fighters?char=g&page=all","Mike","Guymon","The Joker","6' 0""","170 lbs.","74.0""","Orthodox","15","6","1",""
"1627322015-12125","http://ufcstats.com/statistics/fighters?char=g&page=all","Fabian","Gonzalez","","5' 10""","135 lbs.","--","","2","1","0",""
"1627322015-12017","http://ufcstats.com/statistics/fighters?char=g&page=all","Gustavo","Gabriel","","5' 6""","125 lbs.","--","Orthodox","13","1","0",""
"1627322015-12095","http://ufcstats.com/statistics/fighters?char=g&page=all","He-Man","Gipson","","--","--","--","","1","2","0",""
"1627322015-12181","http://ufcstats.com/statistics/fighters?char=g&page=all","Desmond","Green","The Predator","5' 10""","155 lbs.","73.0""","Southpaw","23","8","0",""
"1627322015-12131","http://ufcstats.com/statistics/fighters?char=g&page=all","Kier","Gooch","","--","155 lbs.","--","","2","7","0",""
"1627322015-12133","http://ufcstats.com/statistics/fighters?char=g&page=all","Jared","Gooden","NiteTrain","6' 0""","170 lbs.","77.0""","Orthodox","17","6","0",""
"1627322015-12175","http://ufcstats.com/statistics/fighters?char=g&page=all","Michael","Graves","","5' 10""","170 lbs.","71.0""","Orthodox","6","0","1",""
"1627322015-12073","http://ufcstats.com/statistics/fighters?char=g&page=all","Christos","Giagos","The Spartan","5' 10""","155 lbs.","71.0""","Orthodox","19","8","0",""
"1627322015-12119","http://ufcstats.com/statistics/fighters?char=g&page=all","Takanori","Gomi","The Fireball Kid","5' 7""","155 lbs.","70.0""","Southpaw","35","14","0",""
"1627322015-12145","http://ufcstats.com/statistics/fighters?char=g&page=all","Thibault","Gouti","GT","5' 10""","155 lbs.","72.0""","Orthodox","12","5","0",""
"1627322015-12061","http://ufcstats.com/statistics/fighters?char=g&page=all","Willie","Gates","","5' 8""","125 lbs.","72.0""","Orthodox","12","7","0",""
"1627322015-12040","http://ufcstats.com/statistics/fighters?char=g&page=all","Ariel","Gandulla","","5' 11""","205 lbs.","--","Orthodox","7","9","0",""
"1627322015-12116","http://ufcstats.com/statistics/fighters?char=g&page=all","Joey","Gomez","","5' 10""","155 lbs.","71.0""","Orthodox","7","1","0",""
"1627322015-12015","http://ufcstats.com/statistics/fighters?char=g&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627322015-12044","http://ufcstats.com/statistics/fighters?char=g&page=all","Cody","Garbrandt","No Love","5' 8""","135 lbs.","65.0""","Orthodox","12","4","0",""
"1627322015-12185","http://ufcstats.com/statistics/fighters?char=g&page=all","Forrest","Griffin","","6' 3""","205 lbs.","77.0""","Orthodox","19","7","0",""
"1627322015-12120","http://ufcstats.com/statistics/fighters?char=g&page=all","Akihiro","Gono","","5' 7""","170 lbs.","68.0""","Switch","35","21","8",""
"1627322015-12063","http://ufcstats.com/statistics/fighters?char=g&page=all","Louis","Gaudinot","Goodnight","5' 3""","125 lbs.","63.0""","Orthodox","8","4","0",""
"1627322015-12109","http://ufcstats.com/statistics/fighters?char=g&page=all","Sergio","Gomez","","5' 6""","155 lbs.","--","Orthodox","10","3","0",""
"1627322015-12071","http://ufcstats.com/statistics/fighters?char=g&page=all","Darrel","Gholar","","5' 8""","194 lbs.","--","Orthodox","5","6","0",""
"1627322015-12168","http://ufcstats.com/statistics/fighters?char=g&page=all","Scott","Graham","","6' 4""","185 lbs.","--","Orthodox","3","1","0",""
"1627322015-12190","http://ufcstats.com/statistics/fighters?char=g&page=all","Chuck","Grigsby","The Reverend","6' 6""","205 lbs.","--","Orthodox","23","10","0",""
"1627322015-12213","http://ufcstats.com/statistics/fighters?char=g&page=all","Jorge","Gurgel","","5' 7""","155 lbs.","69.0""","Orthodox","14","10","0",""
"1627322015-12022","http://ufcstats.com/statistics/fighters?char=g&page=all","Muin","Gafurov","Tajik","5' 7""","135 lbs.","--","","16","2","0",""
"1627322015-12140","http://ufcstats.com/statistics/fighters?char=g&page=all","Malcolm","Gordon","X","5' 7""","125 lbs.","71.0""","Switch","13","5","0",""
"1627322015-12146","http://ufcstats.com/statistics/fighters?char=g&page=all","Wilson","Gouveia","","6' 1""","185 lbs.","76.0""","Orthodox","14","8","0",""
"1627322015-12021","http://ufcstats.com/statistics/fighters?char=g&page=all","Sheila","Gaff","The German Tank","5' 5""","135 lbs.","--","Orthodox","9","7","0",""
"1627322015-12098","http://ufcstats.com/statistics/fighters?char=g&page=all","Jason","Glaza","","6' 0""","230 lbs.","--","","3","2","0",""
"1627322015-12183","http://ufcstats.com/statistics/fighters?char=g&page=all","Maurice","Greene","The Crochet Boss","6' 7""","258 lbs.","80.0""","Orthodox","9","7","0",""
"1627322015-12141","http://ufcstats.com/statistics/fighters?char=g&page=all","Alex","Gorgees","Hitman","6' 2""","155 lbs.","74.0""","Switch","6","1","0",""
"1627322015-12130","http://ufcstats.com/statistics/fighters?char=g&page=all","Mikey","Gonzalez","Rolls","5' 11""","155 lbs.","74.0""","Orthodox","7","2","0",""
"1627322015-12149","http://ufcstats.com/statistics/fighters?char=g&page=all","Justin","Governale","The Therapist","--","145 lbs.","--","","5","5","0",""
"1627322015-12198","http://ufcstats.com/statistics/fighters?char=g&page=all","Vik","Grujic","The Spartan","5' 11""","170 lbs.","73.0""","Orthodox","6","6","0",""
"1627322015-12072","http://ufcstats.com/statistics/fighters?char=g&page=all","Tiki","Ghosn","","5' 10""","170 lbs.","--","Orthodox","10","7","1",""
"1627322015-12215","http://ufcstats.com/statistics/fighters?char=g&page=all","Andre","Gusmao","","6' 0""","205 lbs.","--","Orthodox","6","3","0",""
"1627322015-12108","http://ufcstats.com/statistics/fighters?char=g&page=all","Marcelo","Golm","","6' 3""","249 lbs.","75.0""","Orthodox","6","3","0",""
