web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322307-12686","http://ufcstats.com/statistics/fighters?char=k&page=all","Pascal","Krauss","Panzer","6' 1""","170 lbs.","--","Orthodox","11","2","0",""
"1627322307-12639","http://ufcstats.com/statistics/fighters?char=k&page=all","Jong Man","Kim","Special Force","5' 7""","139 lbs.","--","Orthodox","23","11","3",""
"1627322307-12659","http://ufcstats.com/statistics/fighters?char=k&page=all","William","Knight","Knightmare","5' 10""","205 lbs.","73.0""","Orthodox","9","2","0",""
"1627322307-12654","http://ufcstats.com/statistics/fighters?char=k&page=all","Stefan","Klever","","--","185 lbs.","--","Orthodox","6","1","0",""
"1627322307-12703","http://ufcstats.com/statistics/fighters?char=k&page=all","Ramazan","Kuramagomedov","","6' 1""","170 lbs.","73.0""","Orthodox","8","0","0",""
"1627322307-12599","http://ufcstats.com/statistics/fighters?char=k&page=all","Canaan","Kawaihae","","6' 0""","145 lbs.","--","Southpaw","4","1","0",""
"1627322307-12683","http://ufcstats.com/statistics/fighters?char=k&page=all","Steve","Kozola","","--","155 lbs.","--","","8","0","0",""
"1627322307-12633","http://ufcstats.com/statistics/fighters?char=k&page=all","Dong Hyun","Kim","Stun Gun","6' 2""","170 lbs.","76.0""","Southpaw","22","4","1",""
"1627322307-12642","http://ufcstats.com/statistics/fighters?char=k&page=all","Rob","Kimmons","The Rosedale Reaper","5' 10""","185 lbs.","73.0""","Orthodox","25","9","0",""
"1627322307-12647","http://ufcstats.com/statistics/fighters?char=k&page=all","Kamuela","Kirk","The Jawaiian","5' 10""","145 lbs.","75.0""","Switch","12","4","0",""
"1627322307-12706","http://ufcstats.com/statistics/fighters?char=k&page=all","Kyle","Kurtz","","--","170 lbs.","--","","7","5","0",""
"1627322307-12596","http://ufcstats.com/statistics/fighters?char=k&page=all","Calvin","Kattar","","5' 11""","145 lbs.","72.0""","Orthodox","22","5","0",""
"1627322307-12604","http://ufcstats.com/statistics/fighters?char=k&page=all","Ryan","Keenan","","5' 10""","170 lbs.","--","","6","2","0",""
"1627322307-12597","http://ufcstats.com/statistics/fighters?char=k&page=all","Sarah","Kaufman","","5' 5""","135 lbs.","66.0""","Orthodox","18","4","0",""
"1627322307-12570","http://ufcstats.com/statistics/fighters?char=k&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627322307-12612","http://ufcstats.com/statistics/fighters?char=k&page=all","Daniel","Kelly","","6' 0""","185 lbs.","70.0""","Southpaw","13","4","0",""
"1627322307-12620","http://ufcstats.com/statistics/fighters?char=k&page=all","Will","Kerr","","5' 10""","155 lbs.","69.0""","Orthodox","9","3","0",""
"1627322307-12607","http://ufcstats.com/statistics/fighters?char=k&page=all","Brian","Kelleher","Boom","5' 6""","145 lbs.","66.0""","Switch","22","12","0",""
"1627322307-12617","http://ufcstats.com/statistics/fighters?char=k&page=all","Casey","Kenney","","5' 7""","135 lbs.","68.0""","Southpaw","16","3","1",""
"1627322307-12682","http://ufcstats.com/statistics/fighters?char=k&page=all","Karolina","Kowalkiewicz","","5' 3""","115 lbs.","64.0""","Orthodox","12","6","0",""
"1627322307-12656","http://ufcstats.com/statistics/fighters?char=k&page=all","Michael","Knaap","Hammer","6' 2""","220 lbs.","--","Orthodox","18","22","3",""
"1627322307-12669","http://ufcstats.com/statistics/fighters?char=k&page=all","John","Kolosci","","5' 11""","185 lbs.","--","Orthodox","15","9","0",""
"1627322307-12695","http://ufcstats.com/statistics/fighters?char=k&page=all","Maiju","Kujala","","--","135 lbs.","--","","6","3","0",""
"1627322307-12623","http://ufcstats.com/statistics/fighters?char=k&page=all","Adam","Khaliev","","6' 0""","170 lbs.","--","Orthodox","6","0","0",""
"1627322307-12680","http://ufcstats.com/statistics/fighters?char=k&page=all","Matt","Kovacs","300","6' 0""","244 lbs.","--","Orthodox","12","16","0",""
"1627322307-12693","http://ufcstats.com/statistics/fighters?char=k&page=all","Michael","Kuiper","","6' 0""","185 lbs.","73.0""","Orthodox","15","5","0",""
"1627322307-12622","http://ufcstats.com/statistics/fighters?char=k&page=all","Rustam","Khabilov","Tiger","5' 8""","155 lbs.","73.0""","Orthodox","24","4","0",""
"1627322307-12601","http://ufcstats.com/statistics/fighters?char=k&page=all","Ryo","Kawamura","","5' 11""","205 lbs.","--","Orthodox","18","9","4",""
"1627322307-12698","http://ufcstats.com/statistics/fighters?char=k&page=all","Keigo","Kunihara","","6' 0""","235 lbs.","--","Orthodox","3","2","0",""
"1627322307-12594","http://ufcstats.com/statistics/fighters?char=k&page=all","Hisaki","Kato","","6' 0""","185 lbs.","--","","8","2","0",""
"1627322307-12643","http://ufcstats.com/statistics/fighters?char=k&page=all","Dustin","Kimura","The Diamond","5' 7""","135 lbs.","71.0""","Orthodox","11","3","0",""
"1627322307-12614","http://ufcstats.com/statistics/fighters?char=k&page=all","Steve","Kennedy","The Steamrolla","5' 11""","170 lbs.","--","Orthodox","24","8","0",""
"1627322307-12692","http://ufcstats.com/statistics/fighters?char=k&page=all","John","Kuhner","","--","170 lbs.","--","","1","2","0",""
"1627322307-12585","http://ufcstats.com/statistics/fighters?char=k&page=all","Manel","Kape","StarBoy","5' 5""","125 lbs.","68.0""","Southpaw","15","6","0",""
"1627322307-12618","http://ufcstats.com/statistics/fighters?char=k&page=all","Aurelijus","Kerpe","","--","--","--","Orthodox","11","22","0",""
"1627322307-12603","http://ufcstats.com/statistics/fighters?char=k&page=all","Julie","Kedzie","","5' 5""","135 lbs.","--","Orthodox","16","13","0",""
"1627322307-12587","http://ufcstats.com/statistics/fighters?char=k&page=all","Kai","Kara-France","Don't Blink","5' 4""","125 lbs.","69.0""","Orthodox","22","9","0",""
"1627322307-12708","http://ufcstats.com/statistics/fighters?char=k&page=all","Lina","Kvokov","","5' 9""","135 lbs.","--","Orthodox","0","3","0",""
"1627322307-12630","http://ufcstats.com/statistics/fighters?char=k&page=all","Katsunori","Kikuno","","5' 8""","145 lbs.","66.0""","Orthodox","24","8","2",""
"1627322307-12629","http://ufcstats.com/statistics/fighters?char=k&page=all","Akira","Kikuchi","","5' 8""","155 lbs.","--","Orthodox","16","4","0",""
"1627322307-12610","http://ufcstats.com/statistics/fighters?char=k&page=all","Paul","Kelly","","5' 9""","155 lbs.","70.0""","Orthodox","14","5","0",""
"1627322307-12636","http://ufcstats.com/statistics/fighters?char=k&page=all","Jong Wang","Kim","","6' 1""","240 lbs.","--","","13","23","0",""
"1627322307-12684","http://ufcstats.com/statistics/fighters?char=k&page=all","Derrick","Krantz","D-Rock","5' 10""","170 lbs.","72.0""","Orthodox","22","12","0",""
"1627322307-12608","http://ufcstats.com/statistics/fighters?char=k&page=all","Mayana","Kellem","","5' 5""","135 lbs.","--","Orthodox","7","1","0",""
"1627322307-12590","http://ufcstats.com/statistics/fighters?char=k&page=all","Impa","Kasanganay","Tshilobo","5' 11""","170 lbs.","75.0""","Orthodox","9","1","0",""
"1627322307-12658","http://ufcstats.com/statistics/fighters?char=k&page=all","Jason","Knight","The Kid","5' 10""","145 lbs.","71.0""","Orthodox","20","5","0",""
"1627322307-12674","http://ufcstats.com/statistics/fighters?char=k&page=all","Roman","Kopylov","","6' 0""","185 lbs.","75.0""","Southpaw","8","1","0",""
"1627322307-12666","http://ufcstats.com/statistics/fighters?char=k&page=all","Charlie","Kohler","","5' 9""","155 lbs.","--","Orthodox","8","4","1",""
"1627322307-12710","http://ufcstats.com/statistics/fighters?char=k&page=all","Jarrod","Kwitty","","5' 8""","185 lbs.","--","","2","2","0",""
"1627322307-12668","http://ufcstats.com/statistics/fighters?char=k&page=all","Kaloyan","Kolev","","--","205 lbs.","--","","10","0","0",""
"1627322307-12583","http://ufcstats.com/statistics/fighters?char=k&page=all","Denis","Kang","","5' 11""","185 lbs.","77.0""","Orthodox","35","16","2",""
"1627322307-12598","http://ufcstats.com/statistics/fighters?char=k&page=all","Yusuke","Kawaguchi","","6' 0""","255 lbs.","--","","18","12","0",""
"1627322307-12648","http://ufcstats.com/statistics/fighters?char=k&page=all","Yurij","Kiseliov","Playboy","5' 8""","185 lbs.","--","Orthodox","5","4","0",""
"1627322307-12653","http://ufcstats.com/statistics/fighters?char=k&page=all","Seth","Kleinbeck","Mass Destruction","6' 2""","185 lbs.","--","","8","4","0",""
"1627322307-12663","http://ufcstats.com/statistics/fighters?char=k&page=all","Sokun","Koh","","6' 1""","205 lbs.","--","","4","1","0",""
"1627322307-12650","http://ufcstats.com/statistics/fighters?char=k&page=all","Koji","Kitao","","6' 7""","350 lbs.","--","Southpaw","1","2","0",""
"1627322307-12616","http://ufcstats.com/statistics/fighters?char=k&page=all","Waylon","Kennell","","6' 0""","185 lbs.","--","","6","2","0",""
"1627322307-12691","http://ufcstats.com/statistics/fighters?char=k&page=all","Junya","Kudo","","--","135 lbs.","--","Orthodox","10","7","2",""
"1627322307-12676","http://ufcstats.com/statistics/fighters?char=k&page=all","Josh","Koscheck","","5' 10""","170 lbs.","73.0""","Orthodox","17","11","0",""
"1627322307-12681","http://ufcstats.com/statistics/fighters?char=k&page=all","Marcus","Kowal","","--","135 lbs.","--","","3","1","1",""
"1627322307-12592","http://ufcstats.com/statistics/fighters?char=k&page=all","Yusuke","Kasuya","","5' 7""","155 lbs.","--","Southpaw","9","3","0",""
"1627322307-12634","http://ufcstats.com/statistics/fighters?char=k&page=all","Jin Oh","Kim","","5' 9""","205 lbs.","--","Orthodox","0","4","0",""
"1627322307-12678","http://ufcstats.com/statistics/fighters?char=k&page=all","Ilya","Kotau","","--","170 lbs.","--","","1","2","0",""
"1627322307-12672","http://ufcstats.com/statistics/fighters?char=k&page=all","Cheick","Kongo","","6' 4""","240 lbs.","82.0""","Orthodox","27","10","2",""
"1627322307-12582","http://ufcstats.com/statistics/fighters?char=k&page=all","Ken","Kaneko","","6' 0""","161 lbs.","--","Orthodox","0","3","0",""
"1627322307-12671","http://ufcstats.com/statistics/fighters?char=k&page=all","Syuri","Kondo","","5' 4""","115 lbs.","66.0""","Orthodox","6","3","0",""
"1627322307-12688","http://ufcstats.com/statistics/fighters?char=k&page=all","Jorgen","Kruth","The Last Viking","6' 2""","205 lbs.","--","","5","0","0",""
"1627322307-12660","http://ufcstats.com/statistics/fighters?char=k&page=all","Isao","Kobayashi","","5' 8""","145 lbs.","--","","21","4","4",""
"1627322307-12581","http://ufcstats.com/statistics/fighters?char=k&page=all","Masanori","Kanehara","","5' 7""","135 lbs.","67.0""","Orthodox","26","12","5",""
"1627322307-12605","http://ufcstats.com/statistics/fighters?char=k&page=all","CJ","Keith","","6' 0""","155 lbs.","--","Orthodox","8","4","0",""
"1627322307-12631","http://ufcstats.com/statistics/fighters?char=k&page=all","Sanae","Kikuta","","5' 9""","200 lbs.","--","Orthodox","31","9","3",""
"1627322307-12609","http://ufcstats.com/statistics/fighters?char=k&page=all","Tony","Kelley","Primetime","5' 9""","135 lbs.","70.0""","Switch","7","2","0",""
"1627322307-12646","http://ufcstats.com/statistics/fighters?char=k&page=all","Kyle","Kingsbury","Kingsbu","6' 4""","205 lbs.","79.0""","Orthodox","11","6","0",""
"1627322307-12615","http://ufcstats.com/statistics/fighters?char=k&page=all","Jeremy","Kennedy","JBC","5' 11""","145 lbs.","71.0""","Orthodox","11","1","0",""
"1627322307-12588","http://ufcstats.com/statistics/fighters?char=k&page=all","Georgi","Karakhanyan","Insane","5' 8""","145 lbs.","--","","26","7","1",""
"1627322307-12638","http://ufcstats.com/statistics/fighters?char=k&page=all","Min Soo","Kim","","6' 1""","255 lbs.","--","Southpaw","3","7","0",""
"1627322307-12690","http://ufcstats.com/statistics/fighters?char=k&page=all","Mariusz","Ksiazkiewicz","The Iron Pol","6' 3""","185 lbs.","75.0""","Southpaw","8","1","0",""
"1627322307-12667","http://ufcstats.com/statistics/fighters?char=k&page=all","Tsuyoshi","Kohsaka","TK","5' 11""","225 lbs.","--","Orthodox","27","19","2",""
"1627322307-12586","http://ufcstats.com/statistics/fighters?char=k&page=all","David","Kaplan","Diamond","5' 7""","155 lbs.","--","Orthodox","3","4","0",""
"1627322307-12645","http://ufcstats.com/statistics/fighters?char=k&page=all","Mike","King","","6' 3""","185 lbs.","--","","5","1","0",""
"1627322307-12651","http://ufcstats.com/statistics/fighters?char=k&page=all","Satoru","Kitaoka","","5' 6""","154 lbs.","--","","40","14","9",""
