web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627321823-11838","http://ufcstats.com/statistics/fighters?char=e&page=all","Per","Eklund","","5' 10""","155 lbs.","72.0""","Orthodox","14","5","1",""
"1627321823-11829","http://ufcstats.com/statistics/fighters?char=e&page=all","Justin","Edwards","Fast Eddy","5' 10""","155 lbs.","70.0""","Orthodox","9","5","0",""
"1627321823-11849","http://ufcstats.com/statistics/fighters?char=e&page=all","Cameron","Else","Camchida","5' 9""","135 lbs.","71.0""","Switch","10","5","0",""
"1627321823-11885","http://ufcstats.com/statistics/fighters?char=e&page=all","Sijara","Eubanks","SarJ","5' 4""","135 lbs.","67.0""","Orthodox","8","6","0",""
"1627321823-11892","http://ufcstats.com/statistics/fighters?char=e&page=all","Movsar","Evloev","","5' 7""","145 lbs.","72.0""","Orthodox","15","0","0",""
"1627321823-11879","http://ufcstats.com/statistics/fighters?char=e&page=all","Juan","Espino","El Guapo","6' 3""","255 lbs.","80.0""","","11","2","0",""
"1627321823-11865","http://ufcstats.com/statistics/fighters?char=e&page=all","Won Jin","Eoh","","5' 7""","160 lbs.","--","Orthodox","5","5","1",""
"1627321823-11877","http://ufcstats.com/statistics/fighters?char=e&page=all","Evan","Esguerra","","--","145 lbs.","--","","8","7","0",""
"1627321823-11872","http://ufcstats.com/statistics/fighters?char=e&page=all","Bobby","Escalante","","--","130 lbs.","--","","5","6","0",""
"1627321823-11825","http://ufcstats.com/statistics/fighters?char=e&page=all","Frankie","Edgar","The Answer","5' 6""","135 lbs.","68.0""","Orthodox","23","9","1",""
"1627321823-11871","http://ufcstats.com/statistics/fighters?char=e&page=all","Chel","Erwin-Davis","The First Sun","6' 0""","170 lbs.","--","","5","1","0",""
"1627321823-11878","http://ufcstats.com/statistics/fighters?char=e&page=all","Carla","Esparza","Cookie Monster","5' 1""","115 lbs.","63.0""","Orthodox","19","6","0",""
"1627321823-11874","http://ufcstats.com/statistics/fighters?char=e&page=all","Pro","Escobedo","","--","205 lbs.","--","","1","0","0",""
"1627321823-11847","http://ufcstats.com/statistics/fighters?char=e&page=all","Lisa","Ellis","","5' 4""","115 lbs.","--","","15","11","0",""
"1627321823-11835","http://ufcstats.com/statistics/fighters?char=e&page=all","Stephanie","Egger","","5' 6""","135 lbs.","68.0""","Orthodox","5","2","0",""
"1627321823-11858","http://ufcstats.com/statistics/fighters?char=e&page=all","Marius","Enache","","5' 11""","155 lbs.","--","","3","3","0",""
"1627321823-11856","http://ufcstats.com/statistics/fighters?char=e&page=all","Jamall","Emmers","Pretty Boy","5' 10""","145 lbs.","74.0""","Orthodox","18","5","0",""
"1627321823-11853","http://ufcstats.com/statistics/fighters?char=e&page=all","Aleksander","Emelianenko","","6' 6""","255 lbs.","--","Orthodox","23","7","0",""
"1627321823-11820","http://ufcstats.com/statistics/fighters?char=e&page=all","Maurice","Eazel","","5' 7""","135 lbs.","--","","7","15","0",""
"1627321823-11882","http://ufcstats.com/statistics/fighters?char=e&page=all","Terry","Etim","","6' 1""","155 lbs.","73.0""","Orthodox","16","5","0",""
"1627321823-11832","http://ufcstats.com/statistics/fighters?char=e&page=all","Adli","Edwards","","--","145 lbs.","--","","4","1","0",""
"1627321823-11854","http://ufcstats.com/statistics/fighters?char=e&page=all","Fedor","Emelianenko","The Last Emperor","6' 0""","230 lbs.","74.0""","Orthodox","36","5","0",""
"1627321823-11862","http://ufcstats.com/statistics/fighters?char=e&page=all","Kenny","Ento","Tha' Dragon","6' 2""","192 lbs.","--","","14","15","0",""
"1627321823-11821","http://ufcstats.com/statistics/fighters?char=e&page=all","Vincent","Eazelle","The Real Deal","5' 11""","155 lbs.","--","","9","2","0",""
"1627321823-11842","http://ufcstats.com/statistics/fighters?char=e&page=all","Darren","Elkins","The Damage","5' 10""","145 lbs.","71.0""","Orthodox","27","9","0",""
"1627321823-11839","http://ufcstats.com/statistics/fighters?char=e&page=all","John","Elam","","--","--","--","","2","0","0",""
"1627321823-11817","http://ufcstats.com/statistics/fighters?char=e&page=all","Cody","East","The Freight Train","6' 3""","245 lbs.","--","Orthodox","12","3","0",""
"1627321823-11870","http://ufcstats.com/statistics/fighters?char=e&page=all","Nick","Ertl","","5' 9""","155 lbs.","--","","8","6","0",""
"1627321823-11888","http://ufcstats.com/statistics/fighters?char=e&page=all","Doug","Evans","","5' 9""","155 lbs.","--","Orthodox","13","10","0",""
"1627321823-11895","http://ufcstats.com/statistics/fighters?char=e&page=all","Jessica","Eye","Evil","5' 6""","125 lbs.","66.0""","Orthodox","15","10","0",""
"1627321823-11860","http://ufcstats.com/statistics/fighters?char=e&page=all","Oliver","Enkamp","","6' 0""","170 lbs.","77.0""","Switch","7","2","0",""
"1627321823-11818","http://ufcstats.com/statistics/fighters?char=e&page=all","Marvin","Eastman","The Beastman","5' 9""","185 lbs.","73.0""","Orthodox","18","15","1",""
"1627321823-11894","http://ufcstats.com/statistics/fighters?char=e&page=all","Neal","Ewing","","--","185 lbs.","--","","6","0","0",""
"1627321823-11836","http://ufcstats.com/statistics/fighters?char=e&page=all","Justin","Eilers","The Hammer","6' 1""","235 lbs.","--","Orthodox","19","7","1",""
"1627321823-11855","http://ufcstats.com/statistics/fighters?char=e&page=all","Rob","Emerson","The Saint","5' 9""","155 lbs.","70.0""","Orthodox","18","12","0",""
"1627321823-11880","http://ufcstats.com/statistics/fighters?char=e&page=all","Jordan","Espinosa","The Gamer","5' 6""","125 lbs.","69.0""","Orthodox","15","9","0",""
"1627321823-11833","http://ufcstats.com/statistics/fighters?char=e&page=all","Joselyne","Edwards","La Pantera","5' 8""","135 lbs.","70.0""","Orthodox","10","3","0",""
"1627321823-11826","http://ufcstats.com/statistics/fighters?char=e&page=all","Abdul-Kerim","Edilov","","6' 2""","205 lbs.","--","Orthodox","17","4","0",""
"1627321823-11830","http://ufcstats.com/statistics/fighters?char=e&page=all","Leon","Edwards","Rocky","6' 2""","170 lbs.","74.0""","Southpaw","19","3","0",""
"1627321823-11881","http://ufcstats.com/statistics/fighters?char=e&page=all","Jodie","Esquibel","","5' 1""","115 lbs.","64.0""","Orthodox","6","6","0",""
"1627321823-11864","http://ufcstats.com/statistics/fighters?char=e&page=all","Andy","Enz","Tank Mode","6' 3""","185 lbs.","78.0""","Orthodox","10","4","0",""
