web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322641-13342","http://ufcstats.com/statistics/fighters?char=n&page=all","Scott","Norton","Hollywood","5' 10""","170 lbs.","--","Orthodox","7","1","0",""
"1627322641-13309","http://ufcstats.com/statistics/fighters?char=n&page=all","Emanuel","Newton","The Hardcore Kid","6' 1""","205 lbs.","--","","26","12","1",""
"1627322641-13321","http://ufcstats.com/statistics/fighters?char=n&page=all","Jack","Nilson","","--","--","--","","2","6","0",""
"1627322641-13272","http://ufcstats.com/statistics/fighters?char=n&page=all","Rose","Namajunas","Thug","5' 5""","115 lbs.","65.0""","Orthodox","11","4","0",""
"1627322641-13334","http://ufcstats.com/statistics/fighters?char=n&page=all","Rogerio","Nogueira","Minotouro","6' 2""","205 lbs.","75.0""","Southpaw","23","10","0",""
"1627322641-13330","http://ufcstats.com/statistics/fighters?char=n&page=all","Kyle","Noblitt","","6' 2""","243 lbs.","--","","11","2","0",""
"1627322641-13324","http://ufcstats.com/statistics/fighters?char=n&page=all","Soichi","Nishida","","5' 11""","320 lbs.","--","Orthodox","5","10","1",""
"1627322641-13356","http://ufcstats.com/statistics/fighters?char=n&page=all","Kennedy","Nzechukwu","African Savage","6' 5""","205 lbs.","83.0""","Southpaw","9","1","0",""
"1627322641-13290","http://ufcstats.com/statistics/fighters?char=n&page=all","Josh","Neal","","6' 0""","185 lbs.","--","","5","11","0",""
"1627322641-13332","http://ufcstats.com/statistics/fighters?char=n&page=all","Jacob","Noe","Psycho","--","205 lbs.","--","","3","11","0",""
"1627322641-13306","http://ufcstats.com/statistics/fighters?char=n&page=all","Journey","Newson","","5' 5""","135 lbs.","67.0""","Orthodox","9","3","0",""
"1627322641-13286","http://ufcstats.com/statistics/fighters?char=n&page=all","Danny","Navarro","","5' 10""","155 lbs.","--","","17","7","0",""
"1627322641-13305","http://ufcstats.com/statistics/fighters?char=n&page=all","Nick","Newell","Notorious","5' 10""","155 lbs.","--","Southpaw","14","2","0",""
"1627322641-13268","http://ufcstats.com/statistics/fighters?char=n&page=all","Jutaro","Nakao","","5' 9""","170 lbs.","--","Southpaw","25","19","4",""
"1627322641-13323","http://ufcstats.com/statistics/fighters?char=n&page=all","Guangyou","Ning","Smasher","5' 4""","145 lbs.","64.0""","Southpaw","5","4","1",""
"1627322641-13313","http://ufcstats.com/statistics/fighters?char=n&page=all","Alex","Nicholson","The Spartan","6' 4""","185 lbs.","77.0""","Orthodox","7","4","0",""
"1627322641-13326","http://ufcstats.com/statistics/fighters?char=n&page=all","Akiyo","Nishiura","Wicky Akiyo","5' 8""","139 lbs.","--","Southpaw","13","8","1",""
"1627322641-13349","http://ufcstats.com/statistics/fighters?char=n&page=all","Nina","Nunes","","5' 5""","115 lbs.","64.0""","Orthodox","10","7","0",""
"1627322641-13295","http://ufcstats.com/statistics/fighters?char=n&page=all","Nicolae","Negumereanu","","6' 0""","205 lbs.","78.0""","Orthodox","10","1","0",""
"1627322641-13327","http://ufcstats.com/statistics/fighters?char=n&page=all","Anthony","Njokuani","The Assassin","6' 1""","155 lbs.","75.0""","Orthodox","16","12","0",""
"1627322641-13335","http://ufcstats.com/statistics/fighters?char=n&page=all","Alexandre Franca","Nogueira","Pequeno","5' 7""","145 lbs.","--","Orthodox","18","6","3",""
"1627322641-13318","http://ufcstats.com/statistics/fighters?char=n&page=all","Tom","Niinimaki","Stoneface","5' 9""","145 lbs.","69.0""","Orthodox","22","8","1",""
"1627322641-13289","http://ufcstats.com/statistics/fighters?char=n&page=all","Dustin","Neace","The Beast","5' 9""","145 lbs.","--","","25","21","1",""
"1627322641-13348","http://ufcstats.com/statistics/fighters?char=n&page=all","Amanda","Nunes","Lioness","5' 8""","145 lbs.","69.0""","Orthodox","21","4","0",""
"1627322641-13273","http://ufcstats.com/statistics/fighters?char=n&page=all","Yasuhito","Namekawa","","5' 9""","205 lbs.","--","Orthodox","25","16","4",""
"1627322641-13347","http://ufcstats.com/statistics/fighters?char=n&page=all","Diego","Nunes","The Gun","5' 6""","145 lbs.","67.0""","Orthodox","19","7","0",""
"1627322641-13271","http://ufcstats.com/statistics/fighters?char=n&page=all","Tyson","Nam","","5' 7""","125 lbs.","68.0""","Orthodox","20","12","1",""
"1627322641-13287","http://ufcstats.com/statistics/fighters?char=n&page=all","Marcio","Navarro","The Locomotive","6' 0""","155 lbs.","--","","14","14","0",""
"1627322641-13308","http://ufcstats.com/statistics/fighters?char=n&page=all","Carlos","Newton","The Ronin","5' 9""","170 lbs.","--","Orthodox","16","14","0",""
