web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322406-12731","http://ufcstats.com/statistics/fighters?char=l&page=all","Jeremy","Lang","","5' 11""","205 lbs.","--","Southpaw","21","2","0",""
"1627322406-12840","http://ufcstats.com/statistics/fighters?char=l&page=all","Dylan","Lockard","","5' 9""","145 lbs.","72.0""","Orthodox","6","2","0",""
"1627322406-12765","http://ufcstats.com/statistics/fighters?char=l&page=all","Stephen","Ledbetter","","5' 9""","145 lbs.","--","Orthodox","8","3","0",""
"1627322406-12742","http://ufcstats.com/statistics/fighters?char=l&page=all","Ryan","Larson","","--","170 lbs.","--","","6","2","0",""
"1627322406-12769","http://ufcstats.com/statistics/fighters?char=l&page=all","Jackie","Lee","","--","--","--","","0","1","0",""
"1627322406-12821","http://ufcstats.com/statistics/fighters?char=l&page=all","Hyun Gyu","Lim","The Ace","6' 3""","170 lbs.","77.0""","Orthodox","13","7","1",""
"1627322406-12875","http://ufcstats.com/statistics/fighters?char=l&page=all","Alexandru","Lungu","","6' 0""","385 lbs.","--","Orthodox","14","4","0",""
"1627322406-12839","http://ufcstats.com/statistics/fighters?char=l&page=all","Artem","Lobov","The Russian Hammer","5' 9""","145 lbs.","65.0""","Southpaw","13","15","1",""
"1627322406-12788","http://ufcstats.com/statistics/fighters?char=l&page=all","Jesse","Lennox","The Ox","5' 9""","170 lbs.","72.0""","Orthodox","14","4","0",""
"1627322406-12803","http://ufcstats.com/statistics/fighters?char=l&page=all","Marcus","LeVesseur","The Prospect","5' 9""","155 lbs.","70.0""","Southpaw","22","7","0",""
"1627322406-12771","http://ufcstats.com/statistics/fighters?char=l&page=all","Tae Hyun","Lee","","6' 6""","295 lbs.","--","Orthodox","1","2","0",""
"1627322406-12804","http://ufcstats.com/statistics/fighters?char=l&page=all","David","Levicki","","6' 5""","275 lbs.","--","","1","3","0",""
"1627322406-12807","http://ufcstats.com/statistics/fighters?char=l&page=all","John","Lewis","","6' 0""","155 lbs.","--","Southpaw","3","4","3",""
"1627322406-12811","http://ufcstats.com/statistics/fighters?char=l&page=all","Chi","Lewis-Parry","Chopper","6' 9""","243 lbs.","--","","7","0","1",""
"1627322406-12717","http://ufcstats.com/statistics/fighters?char=l&page=all","Aspen","Ladd","","5' 6""","135 lbs.","66.0""","Orthodox","9","1","0",""
"1627322406-12800","http://ufcstats.com/statistics/fighters?char=l&page=all","Valerie","Letourneau","Trouble","5' 7""","115 lbs.","68.0""","Orthodox","8","6","0",""
"1627322406-12747","http://ufcstats.com/statistics/fighters?char=l&page=all","Joe","Lauzon","","5' 10""","155 lbs.","71.0""","Orthodox","28","16","0",""
