web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322813-13573","http://ufcstats.com/statistics/fighters?char=p&page=all","Brandon","Polcare","","--","125 lbs.","--","","1","1","0",""
"1627322813-13487","http://ufcstats.com/statistics/fighters?char=p&page=all","Carlo","Pedersoli Jr.","Semento","5' 11""","170 lbs.","75.0""","Southpaw","11","3","0",""
"1627322813-13523","http://ufcstats.com/statistics/fighters?char=p&page=all","Jay","Perrin","","5' 7""","135 lbs.","69.0""","Switch","5","4","0",""
"1627322813-13458","http://ufcstats.com/statistics/fighters?char=p&page=all","Karo","Parisyan","The Heat","5' 10""","170 lbs.","72.0""","Orthodox","24","11","0",""
"1627322813-13601","http://ufcstats.com/statistics/fighters?char=p&page=all","Daniel","Puder","","6' 3""","235 lbs.","--","Orthodox","8","0","0",""
"1627322813-13611","http://ufcstats.com/statistics/fighters?char=p&page=all","Joe","Pyfer","Bodybagz","6' 2""","185 lbs.","75.0""","Orthodox","7","2","0",""
"1627322813-13538","http://ufcstats.com/statistics/fighters?char=p&page=all","Dino","Pezao","","--","205 lbs.","--","Orthodox","1","3","0",""
"1627322813-13608","http://ufcstats.com/statistics/fighters?char=p&page=all","Josh","Pulsifer","The Platypus","5' 10""","145 lbs.","--","","17","8","0",""
"1627322813-13585","http://ufcstats.com/statistics/fighters?char=p&page=all","Wagner","Prado","Caldeirao","6' 0""","205 lbs.","74.0""","Southpaw","12","3","0",""
"1627322813-13607","http://ufcstats.com/statistics/fighters?char=p&page=all","Hugh","Pulley","","6' 0""","155 lbs.","--","","6","3","0",""
"1627322813-13571","http://ufcstats.com/statistics/fighters?char=p&page=all","John","Polakowski","Buckets of Blood","5' 10""","155 lbs.","--","Orthodox","2","2","0",""
"1627322813-13430","http://ufcstats.com/statistics/fighters?char=p&page=all","Teemu","Packalen","Pacu","6' 1""","155 lbs.","75.0""","Orthodox","8","3","0",""
"1627322813-13446","http://ufcstats.com/statistics/fighters?char=p&page=all","Soa","Palelei","The Hulk","6' 4""","265 lbs.","81.0""","Orthodox","22","5","0",""
"1627322813-13562","http://ufcstats.com/statistics/fighters?char=p&page=all","Pingyuan","Liu","","5' 6""","135 lbs.","72.0""","Orthodox","13","7","0",""
"1627322813-13483","http://ufcstats.com/statistics/fighters?char=p&page=all","Jonathan","Pearce","JSP","6' 0""","145 lbs.","71.0""","Switch","10","4","0",""
"1627322813-13457","http://ufcstats.com/statistics/fighters?char=p&page=all","Josh","Parisian","","6' 4""","265 lbs.","79.0""","Orthodox","14","4","0",""
"1627322813-13518","http://ufcstats.com/statistics/fighters?char=p&page=all","Alex","Perez","","5' 6""","125 lbs.","65.0""","Orthodox","24","6","0",""
"1627322813-13567","http://ufcstats.com/statistics/fighters?char=p&page=all","Jamal","Pogues","","6' 3""","205 lbs.","77.0""","Orthodox","7","2","0",""
"1627322813-13593","http://ufcstats.com/statistics/fighters?char=p&page=all","Chris","Price","The Exorcist","6' 2""","185 lbs.","--","Southpaw","19","4","0",""
"1627322813-13569","http://ufcstats.com/statistics/fighters?char=p&page=all","Dustin","Poirier","The Diamond","5' 9""","155 lbs.","72.0""","Southpaw","28","6","0",""
"1627322813-13575","http://ufcstats.com/statistics/fighters?char=p&page=all","Santiago","Ponzinibbio","Argentine Dagger","6' 0""","170 lbs.","73.0""","Orthodox","29","4","0",""
"1627322813-13437","http://ufcstats.com/statistics/fighters?char=p&page=all","Dustin","Pague","The Disciple","5' 9""","135 lbs.","74.0""","Orthodox","12","11","0",""
"1627322813-13579","http://ufcstats.com/statistics/fighters?char=p&page=all","Parker","Porter","","6' 0""","265 lbs.","75.0""","Orthodox","11","6","0",""
"1627322813-13485","http://ufcstats.com/statistics/fighters?char=p&page=all","Ross","Pearson","The Real Deal","5' 8""","155 lbs.","69.0""","Orthodox","20","16","0",""
"1627322813-13510","http://ufcstats.com/statistics/fighters?char=p&page=all","Alex","Pereira","Poatan","--","185 lbs.","--","","2","1","0",""
"1627322813-13474","http://ufcstats.com/statistics/fighters?char=p&page=all","Alan","Patrick","Nuguette","5' 11""","155 lbs.","74.0""","Southpaw","15","3","0",""
"1627322813-13470","http://ufcstats.com/statistics/fighters?char=p&page=all","Jhonoven","Pati","The Samoan Savage","6' 1""","185 lbs.","75.0""","Switch","6","4","0",""
"1627322813-13514","http://ufcstats.com/statistics/fighters?char=p&page=all","Erik","Perez","Goyito","5' 8""","135 lbs.","68.0""","Orthodox","17","6","0",""
"1627322813-13582","http://ufcstats.com/statistics/fighters?char=p&page=all","Ruan","Potts","Fangzz","6' 2""","247 lbs.","75.0""","Orthodox","11","6","0",""
"1627322813-13454","http://ufcstats.com/statistics/fighters?char=p&page=all","Bryan","Pardoe","Pain Inducer","6' 1""","205 lbs.","--","Orthodox","13","16","0",""
"1627322813-13602","http://ufcstats.com/statistics/fighters?char=p&page=all","Lucie","Pudilova","","5' 8""","125 lbs.","67.0""","Orthodox","8","6","0",""
